path,source_path,label,label_name,clip_id,source_file_name,manual_label,video_duration,time_of_event,time_of_alert,clip_start_time,clip_end_time,event_center_time,light_conditions,weather,scene
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_01000.mp4,data/nexar_collision_prediction/train/positive/01000.mp4,0,near_miss,nexar_train_positive_01000,01000.mp4,near_miss,38.268,17.937,17.152,12.937,22.937,17.937,Normal,Cloudy,Rural
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00784.mp4,data/nexar_collision_prediction/train/positive/00784.mp4,0,near_miss,nexar_train_positive_00784,00784.mp4,near_miss,39.2,18.5,17.367,13.5,23.5,18.5,Normal,Clear,Other
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00119.mp4,data/nexar_collision_prediction/train/positive/00119.mp4,1,collision,nexar_train_positive_00119,00119.mp4,collision,38.301,17.365,16.107,12.365,22.365,17.365,Twilight,Clear,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00705.mp4,data/nexar_collision_prediction/train/positive/00705.mp4,0,near_miss,nexar_train_positive_00705,00705.mp4,near_miss,40.654,21.86,19.867,16.86,26.86,21.86,Normal,Rain,Other
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00599.mp4,data/nexar_collision_prediction/train/positive/00599.mp4,0,near_miss,nexar_train_positive_00599,00599.mp4,near_miss,40.167,20.967,19.5,15.967,25.967,20.967,Normal,Cloudy,Highway
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00108.mp4,data/nexar_collision_prediction/train/positive/00108.mp4,1,collision,nexar_train_positive_00108,00108.mp4,collision,40.267,19.3,18.233,14.3,24.3,19.3,Dark,Clear,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00361.mp4,data/nexar_collision_prediction/train/positive/00361.mp4,1,collision,nexar_train_positive_00361,00361.mp4,collision,40.197,19.852,18.312,14.852,24.852,19.852,Normal,Cloudy,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00751.mp4,data/nexar_collision_prediction/train/positive/00751.mp4,0,near_miss,nexar_train_positive_00751,00751.mp4,near_miss,40.033,20.333,19.1,15.333,25.333,20.333,Normal,Cloudy,Sub-urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00104.mp4,data/nexar_collision_prediction/train/positive/00104.mp4,1,collision,nexar_train_positive_00104,00104.mp4,collision,40.033,20.783,20.133,15.783,25.783,20.783,Normal,Cloudy,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00334.mp4,data/nexar_collision_prediction/train/positive/00334.mp4,1,collision,nexar_train_positive_00334,00334.mp4,collision,40.533,19.083,18.4,14.083,24.083,19.083,Normal,Cloudy,Highway
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00533.mp4,data/nexar_collision_prediction/train/positive/00533.mp4,1,collision,nexar_train_positive_00533,00533.mp4,collision,40.033,19.767,17.267,14.767,24.767,19.767,Twilight,Clear,Other
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00471.mp4,data/nexar_collision_prediction/train/positive/00471.mp4,1,collision,nexar_train_positive_00471,00471.mp4,collision,42.067,19.833,18.267,14.833,24.833,19.833,Normal,Clear,Highway
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_01036.mp4,data/nexar_collision_prediction/train/positive/01036.mp4,0,near_miss,nexar_train_positive_01036,01036.mp4,near_miss,40.334,21.769,19.499,16.769,26.769,21.769,Normal,Rain,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_01002.mp4,data/nexar_collision_prediction/train/positive/01002.mp4,0,near_miss,nexar_train_positive_01002,01002.mp4,near_miss,40.138,20.085,19.047,15.085,25.085,20.085,Twilight,Cloudy,Highway
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00060.mp4,data/nexar_collision_prediction/train/positive/00060.mp4,1,collision,nexar_train_positive_00060,00060.mp4,collision,40.131,19.859,17.279,14.859,24.859,19.859,Normal,Rain,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00014.mp4,data/nexar_collision_prediction/train/positive/00014.mp4,1,collision,nexar_train_positive_00014,00014.mp4,collision,40.333,19.067,18.4,14.067,24.067,19.067,Normal,Cloudy,Sub-urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00818.mp4,data/nexar_collision_prediction/train/positive/00818.mp4,0,near_miss,nexar_train_positive_00818,00818.mp4,near_miss,39.733,19.133,17.867,14.133,24.133,19.133,Normal,Clear,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00805.mp4,data/nexar_collision_prediction/train/positive/00805.mp4,0,near_miss,nexar_train_positive_00805,00805.mp4,near_miss,40.817,19.335,17.702,14.335,24.335,19.335,Normal,Clear,Sub-urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00590.mp4,data/nexar_collision_prediction/train/positive/00590.mp4,0,near_miss,nexar_train_positive_00590,00590.mp4,near_miss,40.098,20.321,18.622,15.321,25.321,20.321,Normal,Clear,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00604.mp4,data/nexar_collision_prediction/train/positive/00604.mp4,0,near_miss,nexar_train_positive_00604,00604.mp4,near_miss,39.701,19.806,18.611,14.806,24.806,19.806,Normal,Cloudy,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00841.mp4,data/nexar_collision_prediction/train/positive/00841.mp4,0,near_miss,nexar_train_positive_00841,00841.mp4,near_miss,39.2,19.0,16.167,14.0,24.0,19.0,Normal,Clear,Highway
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00539.mp4,data/nexar_collision_prediction/train/positive/00539.mp4,1,collision,nexar_train_positive_00539,00539.mp4,collision,39.673,19.488,18.411,14.488,24.488,19.488,Normal,Cloudy,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00310.mp4,data/nexar_collision_prediction/train/positive/00310.mp4,1,collision,nexar_train_positive_00310,00310.mp4,collision,40.858,20.963,20.106,15.963,25.963,20.963,Normal,Cloudy,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00330.mp4,data/nexar_collision_prediction/train/positive/00330.mp4,1,collision,nexar_train_positive_00330,00330.mp4,collision,40.667,20.433,19.567,15.433,25.433,20.433,Normal,Cloudy,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00897.mp4,data/nexar_collision_prediction/train/positive/00897.mp4,0,near_miss,nexar_train_positive_00897,00897.mp4,near_miss,40.2,19.7,16.667,14.7,24.7,19.7,Normal,Clear,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00741.mp4,data/nexar_collision_prediction/train/positive/00741.mp4,0,near_miss,nexar_train_positive_00741,00741.mp4,near_miss,40.098,19.794,18.814,14.794,24.794,19.794,Normal,Cloudy,Sub-urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00573.mp4,data/nexar_collision_prediction/train/positive/00573.mp4,0,near_miss,nexar_train_positive_00573,00573.mp4,near_miss,18.0,10.124,8.293,5.124,15.124,10.124,Normal,Rain,Highway
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00332.mp4,data/nexar_collision_prediction/train/positive/00332.mp4,1,collision,nexar_train_positive_00332,00332.mp4,collision,25.733,5.833,5.333,0.833,10.833,5.833,Normal,Clear,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00607.mp4,data/nexar_collision_prediction/train/positive/00607.mp4,0,near_miss,nexar_train_positive_00607,00607.mp4,near_miss,40.0,18.805,14.608,13.805,23.805,18.805,Normal,Clear,Sub-urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00136.mp4,data/nexar_collision_prediction/train/positive/00136.mp4,0,near_miss,nexar_train_positive_00136,00136.mp4,near_miss,39.902,19.15,16.507,14.15,24.15,19.15,Normal,Clear,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00466.mp4,data/nexar_collision_prediction/train/positive/00466.mp4,1,collision,nexar_train_positive_00466,00466.mp4,collision,40.333,19.033,17.6,14.033,24.033,19.033,Normal,Clear,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00098.mp4,data/nexar_collision_prediction/train/positive/00098.mp4,1,collision,nexar_train_positive_00098,00098.mp4,collision,40.098,19.11,16.823,14.11,24.11,19.11,Normal,Clear,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00965.mp4,data/nexar_collision_prediction/train/positive/00965.mp4,0,near_miss,nexar_train_positive_00965,00965.mp4,near_miss,40.0,21.198,21.068,16.198,26.198,21.198,Normal,Clear,Urban
data/processed_positive/processed/event_clips/nexar/train/positive/nexar_train_positive_00831.mp4,data/nexar_collision_prediction/train/positive/00831.mp4,0,near_miss,nexar_train_positive_00831,00831.mp4,near_miss,40.197,18.25,17.367,13.25,23.25,18.25,Normal,Clear,Urban
