clip_id,source_dataset,split,source_label_folder,source_binary_label,core_label,source_file_name,source_video_path,clip_path,event_center_time,video_duration,clip_start_time,clip_end_time,clip_duration,center_offset_in_clip,time_of_event,time_of_alert,light_conditions,weather,scene,time_to_accident,status,error,manual_label
nexar_train_positive_00000,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00000.mp4,data/nexar_collision_prediction/train/positive/00000.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00000.mp4,20.76,40.069,15.76,25.76,10,5,20.76,19.136,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00003,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00003.mp4,data/nexar_collision_prediction/train/positive/00003.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00003.mp4,19.233,40.1,14.233,24.233,10,5,19.233,16.9,Normal,Rain,Highway,,exists,,collision
nexar_train_positive_00004,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00004.mp4,data/nexar_collision_prediction/train/positive/00004.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00004.mp4,19.367,40.067,14.367,24.367,10,5,19.367,19.167,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00005,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00005.mp4,data/nexar_collision_prediction/train/positive/00005.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00005.mp4,20.874,40.098,15.874,25.874,10,5,20.874,20.809,Normal,Rain,Urban,,exists,,near_miss
nexar_train_positive_00006,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00006.mp4,data/nexar_collision_prediction/train/positive/00006.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00006.mp4,19.233,39.967,14.233,24.233,10,5,19.233,17.133,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00007,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00007.mp4,data/nexar_collision_prediction/train/positive/00007.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00007.mp4,21.2,40.167,16.2,26.2,10,5,21.2,19.5,Normal,Cloudy,Urban,,exists,,near_miss
nexar_train_positive_00008,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00008.mp4,data/nexar_collision_prediction/train/positive/00008.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00008.mp4,19.267,40.133,14.267,24.267,10,5,19.267,19.233,Normal,Clear,Urban,,exists,,collision
nexar_train_positive_00010,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00010.mp4,data/nexar_collision_prediction/train/positive/00010.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00010.mp4,20.9,40.467,15.9,25.9,10,5,20.9,18.533,Normal,Cloudy,Urban,,exists,,near_miss
nexar_train_positive_00013,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00013.mp4,data/nexar_collision_prediction/train/positive/00013.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00013.mp4,20.567,39.967,15.567,25.567,10,5,20.567,18.6,Normal,Cloudy,Sub-urban,,exists,,collision
nexar_train_positive_00014,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00014.mp4,data/nexar_collision_prediction/train/positive/00014.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00014.mp4,19.067,40.333,14.067,24.067,10,5,19.067,18.4,Normal,Cloudy,Sub-urban,,exists,,collision
nexar_train_positive_00015,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00015.mp4,data/nexar_collision_prediction/train/positive/00015.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00015.mp4,19.7,40.267,14.7,24.7,10,5,19.7,17.667,Normal,Clear,Highway,,exists,,collision
nexar_train_positive_00016,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00016.mp4,data/nexar_collision_prediction/train/positive/00016.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00016.mp4,19.771,40.604,14.771,24.771,10,5,19.771,17.861,Normal,Cloudy,Urban,,exists,,collision
nexar_train_positive_00017,nexar_collision_prediction,train,positive,collision_or_near_miss,needs_review,00017.mp4,data/nexar_collision_prediction/train/positive/00017.mp4,data/processed/event_clips/nexar/train/positive/nexar_train_positive_00017.mp4,19.2,40.333,14.2,24.2,10,5,19.2,17.2,Normal,Clear,Highway,,exists,,collision
