row_id,source_dataset,source_event_type,source_row_index,video_id,source_url,source_file_name,source_video_path,clip_path,original_time_range,event_start_time,event_end_time,event_center_time,time_of_event,time_of_alert,manual_label,event_label,core_label,source_binary_label,light_conditions,weather,scene,status,error,saved_raw_URL,saved_raw_Time,saved_raw_Location_of_crash,saved_raw_Light_condition,saved_raw_Weather,saved_raw_Road_surface_condition,saved_raw_Road_type,saved_raw_Road_flat,saved_raw_Lanes,saved_raw_Traffic_condition,saved_raw_Ego_vehicle_model,saved_raw_ADAS_mode,saved_raw_Ego_pre_movement,saved_raw_Other_pre_movement,saved_raw_Ego_pre_avoid_seconds,saved_raw_Other_pre_avoid_seconds,saved_raw_Ego_pre_avoid_movement,saved_raw_Other_pre_avoid_movement,saved_raw_Guilty,saved_raw_Crash_type,saved_raw_Type_of_impact,saved_raw_Crash_with,saved_raw_Crash_vehicle_type,saved_raw_Total_number_of_vehicles,saved_raw_Crash_reason,saved_raw_Ego_most_damaged_area,saved_raw_Other_most_damaged_area,saved_raw_Crash_severity,saved_raw_Ego_fix_fee,saved_raw_Note,saved_raw_time,saved_raw_Takeover_time_for_ADAS,saved_raw_Ego_pre_reaction_seconds,saved_raw_Other_pre_reaction_seconds,saved_raw_Avoid_reason,saved_raw_
saved_crash_000000,saved_av_dataset,crash,0,UHwEqBDFl34,https://www.youtube.com/watch?v=UHwEqBDFl34,UHwEqBDFl34.mp4,,,1:04-1:16,64.0,76.0,70.0,70.0,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Urban,metadata_only,,https://www.youtube.com/watch?v=UHwEqBDFl34,1:04-1:16,Utah,Daylight,Clear,Dry,Signalized_intersection,Flat,2,Light_traffic,Small_vehicle,ADAS,Proceeding_straight,Proceeding_straight,,,No_action,No_action,No,Angle,Front_to_side,Vehicle,other,2,Running_red_light,Left_front_door,Front_center_bumper,Property_damage_only,total,n,,,,,,
saved_crash_000001,saved_av_dataset,crash,1,UHwEqBDFl34,https://www.youtube.com/watch?v=UHwEqBDFl34,UHwEqBDFl34.mp4,,,2:37-2:51,157.0,171.0,164.0,164.0,,collision,collision,collision,collision_or_near_miss,Normal,Cloudy,Other,metadata_only,,https://www.youtube.com/watch?v=UHwEqBDFl34,2:37-2:51,Canada,Daylight,Cloudy,Dry,Road_segement,Flat,1,Light_traffic,N/A,ADAS,Proceeding_straight,Making_left_turn,,,No_action,No_action,No,Sideswipe,Sideswipe_same_direction,Vehicle,Small_vehicle,2,Improper_lane_change,Left_front_fender,Right_rear_fender,Property_damage_only,20000,n,,,,,,
saved_crash_000002,saved_av_dataset,crash,2,UHwEqBDFl34,https://www.youtube.com/watch?v=UHwEqBDFl34&t=193s,UHwEqBDFl34.mp4,,,7:53-8:05,473.0,485.0,479.0,479.0,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Urban,metadata_only,,https://www.youtube.com/watch?v=UHwEqBDFl34&t=193s,7:53-8:05,nevada,Daylight,Clear,Dry,Signalized_intersection,Flat,5,Moderate_traffic,Middle_vehicle,ADAS,Proceeding_straight,Making_left_turn,1.366666667,,Right_turn,No_action,No,Sideswipe,Front_to_side,Vehicle,Middle_vehicle,2,Improper_lane_change,Front_left_bumper,Right_rear_door,Property_damage_only,idk,n,,,,,,
saved_crash_000003,saved_av_dataset,crash,3,Yk0JQaupWX0,https://youtu.be/Yk0JQaupWX0,Yk0JQaupWX0.mp4,,,0:06-0:40,6.0,40.0,23.0,23.0,,collision,collision,collision,collision_or_near_miss,Dark,Clear,Other,metadata_only,,https://youtu.be/Yk0JQaupWX0,0:06-0:40,ohio,Dark_lighted,Clear,Snow_ice,Highway/Freeway,Flat,3,Moderate_traffic,Middle_vehicle,ADAS,other,Proceeding_straight,,,No_action,No_action,Both_at_fault,Rear_end,Sideswipe_same_direction,Vehicle,Big_vehicle,2,Slippery_road,Rear_right_bumper,Front_right_bumper,Property_damage_only,20000,n,,,,,,
saved_crash_000004,saved_av_dataset,crash,4,Yk0JQaupWX0,https://youtu.be/Yk0JQaupWX0,Yk0JQaupWX0.mp4,,,1:18-1:34,78.0,94.0,86.0,86.0,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Rural,metadata_only,,https://youtu.be/Yk0JQaupWX0,1:18-1:34,wisconsin,Daylight,Clear,Snow_ice,Unpaved_road,Flat,1,Light_traffic,Middle_vehicle,ADAS,Making_right_turn,other,,,No_action,No_action,Yes,other,other,Infrastructure,other,1,Slippery_road,Front_center_bumper,other,Property_damage_only,29000,n,,,,,,
saved_crash_000005,saved_av_dataset,crash,5,Yk0JQaupWX0,https://www.youtube.com/watch?v=Yk0JQaupWX0&t=187s,Yk0JQaupWX0.mp4,,,11:01-11:16,661.0,676.0,668.5,668.5,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Other,metadata_only,,https://www.youtube.com/watch?v=Yk0JQaupWX0&t=187s,11:01-11:16,czech republic,Daylight,Clear,Dry,Parking_lot,Flat,1,Moderate_traffic,N/A,ADAS,Backing,Stopped,,,No_action,No_action,No,other,other,Vehicle,Small_vehicle,2,other,Rear_right_bumper,Right_front_door,Property_damage_only,idk,parking lot,,,,,,
saved_crash_000006,saved_av_dataset,crash,6,Yk0JQaupWX0,https://youtu.be/Yk0JQaupWX0,Yk0JQaupWX0.mp4,,,11:44-12:00,704.0,720.0,712.0,712.0,,collision,collision,collision,collision_or_near_miss,Dark,Clear,Urban,metadata_only,,https://youtu.be/Yk0JQaupWX0,11:44-12:00,texas,Dark_lighted,Clear,Dry,Signalized_intersection,Flat,3,Congested,Small_vehicle,ADAS,Stopped,Proceeding_straight,,,No_action,No_action,No,Sideswipe,Sideswipe_same_direction,Vehicle,Middle_vehicle,2,Improper_lane_change,Left_rear_door,Right_rear_door,Property_damage_only,idk,n,,,,,,
saved_crash_000007,saved_av_dataset,crash,7,Yk0JQaupWX0,https://youtu.be/Yk0JQaupWX0,Yk0JQaupWX0.mp4,,,13:03-13:24,783.0,804.0,793.5,793.5,,collision,collision,collision,collision_or_near_miss,Normal,Rain,Urban,metadata_only,,https://youtu.be/Yk0JQaupWX0,13:03-13:24,canada,Daylight,Rain,Wet,Signalized_intersection,Flat,2,Moderate_traffic,N/A,ADAS,Proceeding_straight,Making_left_turn,,,No_action,No_action,No,Sideswipe,Sideswipe_same_direction,Vehicle,Middle_vehicle,2,Improper_lane_change,Rear_right_bumper,Front_right_bumper,Property_damage_only,idk,n,,,,,,
saved_crash_000008,saved_av_dataset,crash,8,02pOwN9GmzM,https://www.youtube.com/watch?v=02pOwN9GmzM,02pOwN9GmzM.mp4,,,00:02-00:38,2.0,38.0,20.0,20.0,,collision,collision,collision,collision_or_near_miss,Dark,Rain,Other,metadata_only,,https://www.youtube.com/watch?v=02pOwN9GmzM,00:02-00:38,indiana,Dark_not_lighted,Rain,Wet,Road_segement,Flat,2,Light_traffic,Middle_vehicle,ADAS,Proceeding_straight,other,,,No_action,No_action,Yes,other,other,Infrastructure,other,1,Poor_visibility,Front_right_bumper,other,Property_damage_only,14000,n,,,,,,
saved_crash_000009,saved_av_dataset,crash,9,02pOwN9GmzM,https://www.youtube.com/watch?v=02pOwN9GmzM,02pOwN9GmzM.mp4,,,2:23-2:46,143.0,166.0,154.5,154.5,,collision,collision,collision,collision_or_near_miss,Normal,Clear,Other,metadata_only,,https://www.youtube.com/watch?v=02pOwN9GmzM,2:23-2:46,new york,Daylight,Clear,Dry,Road_segement,Flat,1,Moderate_traffic,Middle_vehicle,parking_recording,Parked,Making_left_turn,,,No_action,No_action,No,Rear_end,Front_to_rear,Vehicle,Middle_vehicle,3,Failure_to_yield,Rear_left_bumper,Front_center_bumper,Property_damage_only,16000,n,,,,,,
